代码	名称	涨幅	最新	涨跌	总额	委买价	委卖价	换手率	总市值	流通市值	昨收	今开	最高	最低
000009	中国宝安	-1.25%	10.26	-0.13	2.32亿	10.26	10.27	1.06%	220.52亿	217.49亿	10.39	10.33	10.39	10.21
000012	南 玻Ａ	-1.06%	4.67	-0.05	5929.57万	4.67	4.68	0.73%	86.62亿	81.06亿	4.72	4.71	4.72	4.65
000021	深科技	-0.41%	24.49	-0.10	11.90亿	24.48	24.49	3.30%	360.31亿	359.84亿	24.59	24.49	24.82	24.31
000027	深圳能源	-1.36%	6.54	-0.09	1.04亿	6.54	6.55	0.40%	259.28亿	259.28亿	6.63	6.63	6.64	6.54
000031	大悦城	-2.93%	2.98	-0.09	7114.64万	2.98	2.99	1.31%	54.05亿	54.05亿	3.07	3.07	3.08	2.95
000039	中集集团	-0.11%	9.49	-0.01	7.58亿	9.48	9.49	6.29%	120.37亿	120.32亿	9.50	9.51	9.74	9.35
000050	深天马Ａ	-1.63%	9.08	-0.15	1.96亿	9.07	9.08	1.54%	185.97亿	127.21亿	9.23	9.21	9.22	9.05
000060	中金岭南	-4.12%	5.35	-0.23	7.78亿	5.34	5.35	4.04%	190.98亿	190.90亿	5.58	5.53	5.54	5.31
000062	深圳华强	-1.24%	24.77	-0.31	1.82亿	24.76	24.78	1.03%	178.67亿	174.83亿	25.08	25.14	25.20	24.74
000089	深圳机场	-0.43%	6.91	-0.03	5411.22万	6.91	6.92	0.38%	141.71亿	141.71亿	6.94	6.95	6.95	6.91
000155	川能动力	-4.05%	11.36	-0.48	4.22亿	11.35	11.36	3.91%	144.27亿	106.47亿	11.84	11.76	11.77	11.35
000156	华数传媒	0.39%	7.64	0.03	5988.46万	7.64	7.65	0.61%	109.51亿	97.81亿	7.61	7.62	7.67	7.58
000400	许继电气	-0.93%	25.51	-0.24	4.07亿	25.51	25.52	1.58%	257.22亿	257.18亿	25.75	25.60	25.85	25.39
000401	金隅冀东	-1.33%	4.46	-0.06	4002.20万	4.46	4.47	0.66%	60.10亿	60.09亿	4.52	4.52	4.53	4.46
000402	金 融 街	-2.81%	2.77	-0.08	6937.04万	2.77	2.78	0.83%	82.79亿	82.76亿	2.85	2.84	2.84	2.77
000415	渤海租赁	-1.30%	3.79	-0.05	4.04亿	3.78	3.79	2.98%	234.39亿	134.46亿	3.84	3.86	3.90	3.77
000513	丽珠集团	-0.42%	35.60	-0.15	1.64亿	35.60	35.61	1.00%	168.39亿	162.93亿	35.75	35.76	36.15	35.58
000519	中兵红箭	-0.66%	18.08	-0.12	3.49亿	18.07	18.08	2.62%	253.75亿	132.92亿	18.20	18.10	18.25	18.04
000537	中绿电	-1.19%	8.29	-0.10	7650.79万	8.29	8.30	1.79%	154.40亿	42.50亿	8.39	8.40	8.43	8.28
000547	航天发展	0.59%	22.13	0.13	136.71亿	22.13	22.14	63.23%	316.38亿	214.80亿	22.00	21.50	23.00	21.48
000553	安道麦A	-2.14%	5.95	-0.13	3182.86万	5.94	5.95	2.18%	135.63亿	14.53亿	6.08	6.06	6.09	5.94
000559	万向钱潮	-2.24%	12.23	-0.28	10.66亿	12.22	12.23	3.16%	336.71亿	336.71亿	12.51	12.41	12.54	12.14
000563	陕国投Ａ	-1.42%	3.47	-0.05	1.29亿	3.46	3.47	1.01%	137.55亿	127.24亿	3.52	3.51	3.52	3.46
000581	威孚高科	-1.28%	20.13	-0.26	1.81亿	20.12	20.13	1.07%	168.40亿	168.39亿	20.39	20.40	20.41	20.10
000591	太阳能	-0.89%	4.46	-0.04	1.46亿	4.46	4.47	1.60%	134.12亿	90.85亿	4.50	4.50	4.50	4.45
000598	兴蓉环境	-0.70%	7.12	-0.05	8610.43万	7.12	7.13	0.40%	212.62亿	212.62亿	7.17	7.18	7.21	7.12
000623	吉林敖东	-2.03%	19.32	-0.40	2.37亿	19.32	19.33	1.09%	224.65亿	216.14亿	19.72	19.68	19.75	19.32
000629	钒钛股份	-3.55%	2.99	-0.11	4.08亿	2.99	3.00	2.84%	256.83亿	142.54亿	3.10	3.09	3.09	2.99
000630	铜陵有色	-5.03%	5.47	-0.29	22.28亿	5.46	5.47	4.23%	575.80亿	522.96亿	5.76	5.70	5.70	5.41
000636	风华高科	0.74%	16.41	0.12	3.63亿	16.41	16.42	2.52%	146.91亿	143.66亿	16.29	16.25	16.63	16.23
